res;kingdom;phylum
0,921705902870058;Animalia;Mollusca
1,05717848270177;Animalia;Mollusca
-3,04400147543165;Animalia;Mollusca
0,63324221774455;Animalia;Mollusca
0,942501890840878;Animalia;Mollusca
0,706550893236741;Animalia;Mollusca
1,30032559998348;Animalia;Mollusca
-0,602972831815705;Animalia;Mollusca
-0,681824634086974;Animalia;Mollusca
0,927613278347127;Animalia;Mollusca
1,08461702715679;Animalia;Mollusca
-2,36612176700249;Animalia;Mollusca
-2,42963517272482;Animalia;Mollusca
-2,22302092336182;Animalia;Mollusca
-1,11260755017943;Animalia;Mollusca
-0,991979562390813;Animalia;Mollusca
-1,55729337144087;Animalia;Mollusca
-1,08728974219514;Animalia;Mollusca
-0,327652820366359;Animalia;Mollusca
-1,78043692275508;Animalia;Mollusca
-2,13378978963388;Animalia;Nematoda
-1,19265025785296;Animalia;Nematoda
-1,64266923694722;Animalia;Nematoda
-2,13711186669381;Animalia;Nematoda
-1,83173021714263;Animalia;Nematoda
-2,29126254652107;Animalia;Nematoda
-1,37497181464692;Animalia;Nematoda
-1,57986791566266;Animalia;Nematomorpha
-1,31043329350935;Animalia;Nemertea
-1,03849957802571;Animalia;Nemertea
-2,66930802599024;Animalia;Nemertea
-2,34683500845787;Animalia;Platyhelminthes
0,782001397099263;Animalia;Platyhelminthes
-3,10451844530812;Animalia;Platyhelminthes
1,18614462794951;Animalia;Platyhelminthes
0,947415905643306;Animalia;Platyhelminthes
-1,55729337144087;Animalia;Platyhelminthes
-2,33581641750717;Animalia;Platyhelminthes
-3,81946862629542;Animalia;Platyhelminthes
-2,83638323377658;Animalia;Platyhelminthes
-3,33847517757381;Animalia;Platyhelminthes
-1,91396831537961;Animalia;Platyhelminthes
-2,98516097540872;Animalia;Platyhelminthes
-1,22082113481966;Animalia;Platyhelminthes
-0,95845687035217;Animalia;Platyhelminthes
-3,21587285548148;Animalia;Platyhelminthes
-1,53749074414469;Animalia;Platyhelminthes
-2,02545301756025;Animalia;Platyhelminthes
-2,96394992502618;Animalia;Porifera
-0,969506706538755;Animalia;Porifera
-0,777968494639876;Animalia;Porifera
-0,0487813775967334;Animalia;Porifera
